"Date","WinningNumbers"
"Saturday, 1/13/24",31
"Saturday, 1/13/24",33
"Saturday, 1/13/24",51
"Saturday, 1/13/24",58
"Wednesday, 1/10/24",25
"Wednesday, 1/10/24",40
"Wednesday, 1/10/24",43
"Wednesday, 1/10/24",48
"Wednesday, 1/10/24",50
"Monday, 1/8/24",7
"Monday, 1/8/24",17
"Monday, 1/8/24",28
"Monday, 1/8/24",40
"Monday, 1/8/24",45
"Saturday, 1/6/24",4
"Saturday, 1/6/24",31
"Saturday, 1/6/24",34
"Saturday, 1/6/24",38
"Saturday, 1/6/24",61
"Wednesday, 1/3/24",30
"Wednesday, 1/3/24",31
"Wednesday, 1/3/24",38
"Wednesday, 1/3/24",48
"Wednesday, 1/3/24",68
"Monday, 1/1/24",12
"Monday, 1/1/24",21
"Monday, 1/1/24",42
"Monday, 1/1/24",44
"Monday, 1/1/24",49
"Saturday, 12/30/23",10
"Saturday, 12/30/23",11
"Saturday, 12/30/23",26
"Saturday, 12/30/23",27
"Saturday, 12/30/23",34
"Wednesday, 12/27/23",4
"Wednesday, 12/27/23",11
"Wednesday, 12/27/23",38
"Wednesday, 12/27/23",51
"Wednesday, 12/27/23",68
"Monday, 12/25/23",5
"Monday, 12/25/23",12
"Monday, 12/25/23",20
"Monday, 12/25/23",24
"Monday, 12/25/23",29
"Saturday, 12/23/23",9
"Saturday, 12/23/23",14
"Saturday, 12/23/23",17
"Saturday, 12/23/23",18
"Saturday, 12/23/23",53
"Wednesday, 12/20/23",27
"Wednesday, 12/20/23",35
"Wednesday, 12/20/23",41
"Wednesday, 12/20/23",56
"Wednesday, 12/20/23",60
"Monday, 12/18/23",5
"Monday, 12/18/23",8
"Monday, 12/18/23",19
"Monday, 12/18/23",34
"Monday, 12/18/23",39
"Saturday, 12/16/23",3
"Saturday, 12/16/23",9
"Saturday, 12/16/23",10
"Saturday, 12/16/23",20
"Saturday, 12/16/23",62
"Wednesday, 12/13/23",3
"Wednesday, 12/13/23",8
"Wednesday, 12/13/23",41
"Wednesday, 12/13/23",56
"Wednesday, 12/13/23",64
"Monday, 12/11/23",1
"Monday, 12/11/23",24
"Monday, 12/11/23",27
"Monday, 12/11/23",31
"Monday, 12/11/23",62
"Saturday, 12/9/23",5
"Saturday, 12/9/23",25
"Saturday, 12/9/23",26
"Saturday, 12/9/23",40
"Saturday, 12/9/23",60
"Wednesday, 12/6/23",2
"Wednesday, 12/6/23",12
"Wednesday, 12/6/23",37
"Wednesday, 12/6/23",56
"Wednesday, 12/6/23",65
"Monday, 12/4/23",18
"Monday, 12/4/23",19
"Monday, 12/4/23",27
"Monday, 12/4/23",28
"Monday, 12/4/23",45
"Saturday, 12/2/23",28
"Saturday, 12/2/23",35
"Saturday, 12/2/23",41
"Saturday, 12/2/23",47
"Saturday, 12/2/23",60
"Wednesday, 11/29/23",6
"Wednesday, 11/29/23",47
"Wednesday, 11/29/23",50
"Wednesday, 11/29/23",61
"Wednesday, 11/29/23",68
"Monday, 11/27/23",2
"Monday, 11/27/23",21
"Monday, 11/27/23",38
"Monday, 11/27/23",61
"Monday, 11/27/23",66
"Saturday, 11/25/23",27
"Saturday, 11/25/23",33
"Saturday, 11/25/23",63
"Saturday, 11/25/23",66
"Saturday, 11/25/23",68
"Wednesday, 11/22/23",20
"Wednesday, 11/22/23",24
"Wednesday, 11/22/23",33
"Wednesday, 11/22/23",39
"Wednesday, 11/22/23",42
"Monday, 11/20/23",19
"Monday, 11/20/23",26
"Monday, 11/20/23",30
"Monday, 11/20/23",39
"Monday, 11/20/23",63
"Saturday, 11/18/23",34
"Saturday, 11/18/23",50
"Saturday, 11/18/23",51
"Saturday, 11/18/23",61
"Saturday, 11/18/23",67
"Wednesday, 11/15/23",3
"Wednesday, 11/15/23",4
"Wednesday, 11/15/23",51
"Wednesday, 11/15/23",53
"Wednesday, 11/15/23",60
