"District","School","Subject","Year","Proficiency"
"Alamance-Burlington Schools","Highland Elementary","Reading Grade 3-8","2023%",48.8
"Alamance-Burlington Schools","Highland Elementary","Math Grade 3-8","2018%",67.8
"Alamance-Burlington Schools","Highland Elementary","Math Grade 3-8","2019%",69
"Alamance-Burlington Schools","Highland Elementary","Math Grade 3-8","2022%",53.3
"Alamance-Burlington Schools","Highland Elementary","Math Grade 3-8","2023%",51.7
"Alamance-Burlington Schools","Highland Elementary","Science Grade 5&8","2018%",64.1
"Alamance-Burlington Schools","Highland Elementary","Science Grade 5&8","2019%",81.4
"Alamance-Burlington Schools","Highland Elementary","Science Grade 5&8","2022%",65.3
"Alamance-Burlington Schools","Highland Elementary","Science Grade 5&8","2023%",58.4
"Alamance-Burlington Schools","E M Yoder Elementary","Reading Grade 3-8","2018%",55.6
"Alamance-Burlington Schools","E M Yoder Elementary","Reading Grade 3-8","2019%",60
"Alamance-Burlington Schools","E M Yoder Elementary","Reading Grade 3-8","2022%",54.1
"Alamance-Burlington Schools","E M Yoder Elementary","Reading Grade 3-8","2023%",57.7
"Alamance-Burlington Schools","E M Yoder Elementary","Math Grade 3-8","2018%",65.7
"Alamance-Burlington Schools","E M Yoder Elementary","Math Grade 3-8","2019%",66.5
"Alamance-Burlington Schools","E M Yoder Elementary","Math Grade 3-8","2022%",56.9
"Alamance-Burlington Schools","E M Yoder Elementary","Math Grade 3-8","2023%",67.3
"Alamance-Burlington Schools","E M Yoder Elementary","Science Grade 5&8","2018%",74.5
"Alamance-Burlington Schools","E M Yoder Elementary","Science Grade 5&8","2019%",92.9
"Alamance-Burlington Schools","E M Yoder Elementary","Science Grade 5&8","2022%",60.6
"Alamance-Burlington Schools","E M Yoder Elementary","Science Grade 5&8","2023%",72.4
"Alamance-Burlington Schools","Eastern Alamance High","Biology","2018%",78
"Alamance-Burlington Schools","Eastern Alamance High","Biology","2019%",67.8
"Alamance-Burlington Schools","Eastern Alamance High","Biology","2022%",55.4
"Alamance-Burlington Schools","Eastern Alamance High","Biology","2023%",49.8
"Alamance-Burlington Schools","Eastern Alamance High","English II","2018%",54.9
"Alamance-Burlington Schools","Eastern Alamance High","English II","2019%",52.2
"Alamance-Burlington Schools","Eastern Alamance High","English II","2022%",53
"Alamance-Burlington Schools","Eastern Alamance High","English II","2023%",43.6
"Alamance-Burlington Schools","Eastlawn Elementary","Reading Grade 3-8","2018%",32.6
"Alamance-Burlington Schools","Eastlawn Elementary","Reading Grade 3-8","2019%",31.3
"Alamance-Burlington Schools","Eastlawn Elementary","Reading Grade 3-8","2022%",22.6
"Alamance-Burlington Schools","Eastlawn Elementary","Reading Grade 3-8","2023%",24
"Alamance-Burlington Schools","Eastlawn Elementary","Math Grade 3-8","2018%",39.4
"Alamance-Burlington Schools","Eastlawn Elementary","Math Grade 3-8","2019%",38.9
"Alamance-Burlington Schools","Eastlawn Elementary","Math Grade 3-8","2022%",26.2
"Alamance-Burlington Schools","Eastlawn Elementary","Math Grade 3-8","2023%",23.5
"Alamance-Burlington Schools","Eastlawn Elementary","Science Grade 5&8","2018%",34
"Alamance-Burlington Schools","Eastlawn Elementary","Science Grade 5&8","2019%",40.3
"Alamance-Burlington Schools","Eastlawn Elementary","Science Grade 5&8","2022%",31.8
"Alamance-Burlington Schools","Eastlawn Elementary","Science Grade 5&8","2023%",29.2
"Alamance-Burlington Schools","Edwin M Holt Elementary","Reading Grade 3-8","2018%",63.7
"Alamance-Burlington Schools","Edwin M Holt Elementary","Reading Grade 3-8","2019%",63.7
"Alamance-Burlington Schools","Edwin M Holt Elementary","Reading Grade 3-8","2022%",54.2
"Alamance-Burlington Schools","Edwin M Holt Elementary","Reading Grade 3-8","2023%",58.8
"Alamance-Burlington Schools","Edwin M Holt Elementary","Math Grade 3-8","2018%",60.6
"Alamance-Burlington Schools","Edwin M Holt Elementary","Math Grade 3-8","2019%",69.5
"Alamance-Burlington Schools","Edwin M Holt Elementary","Math Grade 3-8","2022%",57
"Alamance-Burlington Schools","Edwin M Holt Elementary","Math Grade 3-8","2023%",66.4
"Alamance-Burlington Schools","Edwin M Holt Elementary","Science Grade 5&8","2018%",76.9
"Alamance-Burlington Schools","Edwin M Holt Elementary","Science Grade 5&8","2019%",70
"Alamance-Burlington Schools","Edwin M Holt Elementary","Science Grade 5&8","2022%",61.9
"Alamance-Burlington Schools","Edwin M Holt Elementary","Science Grade 5&8","2023%",73.9
"Alamance-Burlington Schools","Elon Elementary","Reading Grade 3-8","2018%",55
"Alamance-Burlington Schools","Elon Elementary","Reading Grade 3-8","2019%",54.9
"Alamance-Burlington Schools","Elon Elementary","Reading Grade 3-8","2022%",43.3
"Alamance-Burlington Schools","Elon Elementary","Reading Grade 3-8","2023%",51.7
"Alamance-Burlington Schools","Elon Elementary","Math Grade 3-8","2018%",52.2
"Alamance-Burlington Schools","Elon Elementary","Math Grade 3-8","2019%",56.8
"Alamance-Burlington Schools","Elon Elementary","Math Grade 3-8","2022%",46.3
"Alamance-Burlington Schools","Elon Elementary","Math Grade 3-8","2023%",53.7
"Alamance-Burlington Schools","Elon Elementary","Science Grade 5&8","2018%",67.8
"Alamance-Burlington Schools","Elon Elementary","Science Grade 5&8","2019%",73.6
"Alamance-Burlington Schools","Elon Elementary","Science Grade 5&8","2022%",48.5
"Alamance-Burlington Schools","Elon Elementary","Science Grade 5&8","2023%",57.9
"Alamance-Burlington Schools","Graham High","Biology","2018%",28.9
"Alamance-Burlington Schools","Graham High","Biology","2019%",35.1
"Alamance-Burlington Schools","Graham High","Biology","2022%",17.1
"Alamance-Burlington Schools","Graham High","Biology","2023%",36.4
"Alamance-Burlington Schools","Graham High","English II","2018%",34.2
"Alamance-Burlington Schools","Graham High","English II","2019%",28.9
"Alamance-Burlington Schools","Graham High","English II","2022%",46
"Alamance-Burlington Schools","Graham High","English II","2023%",49.2
"Alamance-Burlington Schools","Graham Middle","Reading Grade 3-8","2018%",37.3
"Alamance-Burlington Schools","Graham Middle","Reading Grade 3-8","2019%",30.6
"Alamance-Burlington Schools","Graham Middle","Reading Grade 3-8","2022%",21.6
"Alamance-Burlington Schools","Graham Middle","Reading Grade 3-8","2023%",21.9
"Alamance-Burlington Schools","Graham Middle","Math Grade 3-8","2018%",30.1
"Alamance-Burlington Schools","Graham Middle","Math Grade 3-8","2019%",30.3
"Alamance-Burlington Schools","Graham Middle","Math Grade 3-8","2022%",18.6
"Alamance-Burlington Schools","Graham Middle","Math Grade 3-8","2023%",17.8
"Alamance-Burlington Schools","Graham Middle","Science Grade 5&8","2018%",54.1
"Alamance-Burlington Schools","Graham Middle","Science Grade 5&8","2019%",57.8
"Alamance-Burlington Schools","Graham Middle","Science Grade 5&8","2022%",40.3
"Alamance-Burlington Schools","Graham Middle","Science Grade 5&8","2023%",34.8
"Alamance-Burlington Schools","Grove Park Elementary","Reading Grade 3-8","2018%",38.6
"Alamance-Burlington Schools","Grove Park Elementary","Reading Grade 3-8","2019%",33.3
"Alamance-Burlington Schools","Grove Park Elementary","Reading Grade 3-8","2022%",24.4
"Alamance-Burlington Schools","Grove Park Elementary","Reading Grade 3-8","2023%",22.9
"Alamance-Burlington Schools","Grove Park Elementary","Math Grade 3-8","2018%",36.4
"Alamance-Burlington Schools","Grove Park Elementary","Math Grade 3-8","2019%",35.8
"Alamance-Burlington Schools","Grove Park Elementary","Math Grade 3-8","2022%",25.4
"Alamance-Burlington Schools","Grove Park Elementary","Math Grade 3-8","2023%",24.8
"Alamance-Burlington Schools","Grove Park Elementary","Science Grade 5&8","2018%",53
"Alamance-Burlington Schools","Grove Park Elementary","Science Grade 5&8","2019%",47
"Alamance-Burlington Schools","Grove Park Elementary","Science Grade 5&8","2022%",32.9
"Alamance-Burlington Schools","Grove Park Elementary","Science Grade 5&8","2023%",40.5
"Alamance-Burlington Schools","Hawfields Middle","Reading Grade 3-8","2018%",61.2
"Alamance-Burlington Schools","Hawfields Middle","Reading Grade 3-8","2019%",59.6
"Alamance-Burlington Schools","Hawfields Middle","Reading Grade 3-8","2022%",47.4
"Alamance-Burlington Schools","Hawfields Middle","Reading Grade 3-8","2023%",55.3
"Alamance-Burlington Schools","Hawfields Middle","Math Grade 3-8","2018%",64.4
"Alamance-Burlington Schools","Hawfields Middle","Math Grade 3-8","2019%",75.9
"Alamance-Burlington Schools","Hawfields Middle","Math Grade 3-8","2022%",65.8
"Alamance-Burlington Schools","Hawfields Middle","Math Grade 3-8","2023%",68.3
"Alamance-Burlington Schools","Hawfields Middle","Science Grade 5&8","2018%",86.4
"Alamance-Burlington Schools","Hawfields Middle","Science Grade 5&8","2019%",86.3
"Alamance-Burlington Schools","Hawfields Middle","Science Grade 5&8","2022%",81.7
"Alamance-Burlington Schools","Hawfields Middle","Science Grade 5&8","2023%",87
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Reading Grade 3-8","2018%",35.7
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Reading Grade 3-8","2019%",35
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Reading Grade 3-8","2022%",18.6
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Reading Grade 3-8","2023%",19.5
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Math Grade 3-8","2018%",30.4
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Math Grade 3-8","2019%",29.7
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Math Grade 3-8","2022%",20.7
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Math Grade 3-8","2023%",25.5
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Science Grade 5&8","2018%",38.3
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Science Grade 5&8","2019%",29.1
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Science Grade 5&8","2022%",21
"Alamance-Burlington Schools","Harvey R Newlin Elementary","Science Grade 5&8","2023%",26.9
"Alamance-Burlington Schools","Haw River Elementary","Reading Grade 3-8","2018%",30.3
"Alamance-Burlington Schools","Haw River Elementary","Reading Grade 3-8","2019%",37.5
"Alamance-Burlington Schools","Haw River Elementary","Reading Grade 3-8","2022%",23.6
"Alamance-Burlington Schools","Haw River Elementary","Reading Grade 3-8","2023%",23
"Alamance-Burlington Schools","Haw River Elementary","Math Grade 3-8","2018%",37.7
"Alamance-Burlington Schools","Haw River Elementary","Math Grade 3-8","2019%",30.4
"Alamance-Burlington Schools","Haw River Elementary","Math Grade 3-8","2022%",20.9
"Alamance-Burlington Schools","Haw River Elementary","Math Grade 3-8","2023%",20.9
"Alamance-Burlington Schools","Haw River Elementary","Science Grade 5&8","2018%",24.2
"Alamance-Burlington Schools","Haw River Elementary","Science Grade 5&8","2019%",44.3
"Alamance-Burlington Schools","Haw River Elementary","Science Grade 5&8","2022%",54.9
"Alamance-Burlington Schools","Haw River Elementary","Science Grade 5&8","2023%",41.7
"Alamance-Burlington Schools","Hillcrest Elementary","Reading Grade 3-8","2018%",28.6
"Alamance-Burlington Schools","Hillcrest Elementary","Reading Grade 3-8","2019%",30
"Alamance-Burlington Schools","Hillcrest Elementary","Reading Grade 3-8","2022%",25
"Alamance-Burlington Schools","Hillcrest Elementary","Reading Grade 3-8","2023%",30.9
"Alamance-Burlington Schools","Hillcrest Elementary","Math Grade 3-8","2018%",26.8
"Alamance-Burlington Schools","Hillcrest Elementary","Math Grade 3-8","2019%",36.4
"Alamance-Burlington Schools","Hillcrest Elementary","Math Grade 3-8","2022%",22.3
"Alamance-Burlington Schools","Hillcrest Elementary","Math Grade 3-8","2023%",28.5
"Alamance-Burlington Schools","Hillcrest Elementary","Science Grade 5&8","2018%",18.6
"Alamance-Burlington Schools","Hillcrest Elementary","Science Grade 5&8","2019%",40.4
"Alamance-Burlington Schools","Hillcrest Elementary","Science Grade 5&8","2022%",31
"Alamance-Burlington Schools","Hillcrest Elementary","Science Grade 5&8","2023%",43.1
"Alamance-Burlington Schools","Hugh M Cummings High","Biology","2018%",76.2
"Alamance-Burlington Schools","Hugh M Cummings High","Biology","2019%",75.9
"Alamance-Burlington Schools","Hugh M Cummings High","Biology","2022%",48
"Alamance-Burlington Schools","Hugh M Cummings High","Biology","2023%",46
"Alamance-Burlington Schools","Hugh M Cummings High","English II","2018%",36.8
"Alamance-Burlington Schools","Hugh M Cummings High","English II","2019%",31.1
"Alamance-Burlington Schools","Hugh M Cummings High","English II","2022%",31.4
"Alamance-Burlington Schools","Hugh M Cummings High","English II","2023%",31.5
"Alamance-Burlington Schools","Marvin B Smith Elementary","Reading Grade 3-8","2018%",66.9
"Alamance-Burlington Schools","Marvin B Smith Elementary","Reading Grade 3-8","2019%",70.1
"Alamance-Burlington Schools","Marvin B Smith Elementary","Reading Grade 3-8","2022%",60.6
"Alamance-Burlington Schools","Marvin B Smith Elementary","Reading Grade 3-8","2023%",58.5
"Alamance-Burlington Schools","Marvin B Smith Elementary","Math Grade 3-8","2018%",71
"Alamance-Burlington Schools","Marvin B Smith Elementary","Math Grade 3-8","2019%",67.8
"Alamance-Burlington Schools","Marvin B Smith Elementary","Math Grade 3-8","2022%",68.5
"Alamance-Burlington Schools","Marvin B Smith Elementary","Math Grade 3-8","2023%",68.3
"Alamance-Burlington Schools","Marvin B Smith Elementary","Science Grade 5&8","2018%",76
"Alamance-Burlington Schools","Marvin B Smith Elementary","Science Grade 5&8","2019%",65.9
"Alamance-Burlington Schools","Marvin B Smith Elementary","Science Grade 5&8","2022%",76
"Alamance-Burlington Schools","Marvin B Smith Elementary","Science Grade 5&8","2023%",85.5
"Alamance-Burlington Schools","North Graham Elementary","Reading Grade 3-8","2018%",39.2
"Alamance-Burlington Schools","North Graham Elementary","Reading Grade 3-8","2019%",37.2
"Alamance-Burlington Schools","North Graham Elementary","Reading Grade 3-8","2022%",23
"Alamance-Burlington Schools","North Graham Elementary","Reading Grade 3-8","2023%",21.2
"Alamance-Burlington Schools","North Graham Elementary","Math Grade 3-8","2018%",43.5
"Alamance-Burlington Schools","North Graham Elementary","Math Grade 3-8","2019%",46.2
"Alamance-Burlington Schools","North Graham Elementary","Math Grade 3-8","2022%",22.9
"Alamance-Burlington Schools","North Graham Elementary","Math Grade 3-8","2023%",19.3
"Alamance-Burlington Schools","North Graham Elementary","Science Grade 5&8","2018%",32.8
"Alamance-Burlington Schools","North Graham Elementary","Science Grade 5&8","2019%",59.7
"Alamance-Burlington Schools","North Graham Elementary","Science Grade 5&8","2022%",40.4
"Alamance-Burlington Schools","North Graham Elementary","Science Grade 5&8","2023%",26
"Alamance-Burlington Schools","Pleasant Grove Elementary","Reading Grade 3-8","2018%",45.4
"Alamance-Burlington Schools","Pleasant Grove Elementary","Reading Grade 3-8","2019%",48.9
"Alamance-Burlington Schools","Pleasant Grove Elementary","Reading Grade 3-8","2022%",39.4
"Alamance-Burlington Schools","Pleasant Grove Elementary","Reading Grade 3-8","2023%",36.5
"Alamance-Burlington Schools","Pleasant Grove Elementary","Math Grade 3-8","2018%",46.8
"Alamance-Burlington Schools","Pleasant Grove Elementary","Math Grade 3-8","2019%",44.5
"Alamance-Burlington Schools","Pleasant Grove Elementary","Math Grade 3-8","2022%",40.6
"Alamance-Burlington Schools","Pleasant Grove Elementary","Math Grade 3-8","2023%",48.9
"Alamance-Burlington Schools","Pleasant Grove Elementary","Science Grade 5&8","2018%",71.1
"Alamance-Burlington Schools","Pleasant Grove Elementary","Science Grade 5&8","2019%",70.3
"Alamance-Burlington Schools","Pleasant Grove Elementary","Science Grade 5&8","2022%",63.8
"Alamance-Burlington Schools","Pleasant Grove Elementary","Science Grade 5&8","2023%",60.4
"Alamance-Burlington Schools","R Homer Andrews Elementary","Reading Grade 3-8","2018%",42.1
"Alamance-Burlington Schools","R Homer Andrews Elementary","Reading Grade 3-8","2019%",44.8
"Alamance-Burlington Schools","R Homer Andrews Elementary","Reading Grade 3-8","2022%",31.9
"Alamance-Burlington Schools","R Homer Andrews Elementary","Reading Grade 3-8","2023%",32.3
"Alamance-Burlington Schools","R Homer Andrews Elementary","Math Grade 3-8","2018%",37.9
"Alamance-Burlington Schools","R Homer Andrews Elementary","Math Grade 3-8","2019%",45.2
"Alamance-Burlington Schools","R Homer Andrews Elementary","Math Grade 3-8","2022%",26.8
"Alamance-Burlington Schools","R Homer Andrews Elementary","Math Grade 3-8","2023%",31.1
"Alamance-Burlington Schools","R Homer Andrews Elementary","Science Grade 5&8","2018%",30.9
"Alamance-Burlington Schools","R Homer Andrews Elementary","Science Grade 5&8","2019%",61.6
"Alamance-Burlington Schools","R Homer Andrews Elementary","Science Grade 5&8","2022%",53.2
"Alamance-Burlington Schools","R Homer Andrews Elementary","Science Grade 5&8","2023%",30.9
"Alamance-Burlington Schools","Ray Street Academy","Reading Grade 3-8","2018%",7.7
"Alamance-Burlington Schools","Ray Street Academy","Reading Grade 3-8","2019%",11.5
"Alamance-Burlington Schools","Ray Street Academy","Reading Grade 3-8","2022%",12.5
"Alamance-Burlington Schools","Ray Street Academy","Reading Grade 3-8","2023%",8.6
"Alamance-Burlington Schools","Ray Street Academy","Math Grade 3-8","2018%",2.5
"Alamance-Burlington Schools","Ray Street Academy","Math Grade 3-8","2019%",5.8
"Alamance-Burlington Schools","Ray Street Academy","Math Grade 3-8","2022%",2.5
"Alamance-Burlington Schools","Ray Street Academy","Math Grade 3-8","2023%",2.5
"Alamance-Burlington Schools","Ray Street Academy","Science Grade 5&8","2018%",2.5
"Alamance-Burlington Schools","Ray Street Academy","Science Grade 5&8","2019%",18.2
"Alamance-Burlington Schools","Ray Street Academy","Science Grade 5&8","2022%",23.1
"Alamance-Burlington Schools","Ray Street Academy","Science Grade 5&8","2023%",26.9
"Alamance-Burlington Schools","Ray Street Academy","English II","2018%",25
"Alamance-Burlington Schools","Ray Street Academy","English II","2019%",7.1
"Alamance-Burlington Schools","Ray Street Academy","English II","2022%",18.8
"Alamance-Burlington Schools","Ray Street Academy","English II","2023%",30
"Alamance-Burlington Schools","South Graham Elementary","Reading Grade 3-8","2018%",37.5
"Alamance-Burlington Schools","South Graham Elementary","Reading Grade 3-8","2019%",40.3
"Alamance-Burlington Schools","South Graham Elementary","Reading Grade 3-8","2022%",34.6
"Alamance-Burlington Schools","South Graham Elementary","Reading Grade 3-8","2023%",33.6
"Alamance-Burlington Schools","South Graham Elementary","Math Grade 3-8","2018%",37.9
"Alamance-Burlington Schools","South Graham Elementary","Math Grade 3-8","2019%",48.4
"Alamance-Burlington Schools","South Graham Elementary","Math Grade 3-8","2022%",36.8
"Alamance-Burlington Schools","South Graham Elementary","Math Grade 3-8","2023%",31.9
"Alamance-Burlington Schools","South Graham Elementary","Science Grade 5&8","2018%",37.8
"Alamance-Burlington Schools","South Graham Elementary","Science Grade 5&8","2019%",49.4
"Alamance-Burlington Schools","South Graham Elementary","Science Grade 5&8","2022%",34.2
"Alamance-Burlington Schools","South Graham Elementary","Science Grade 5&8","2023%",49.3
"Alamance-Burlington Schools","South Mebane Elementary","Reading Grade 3-8","2018%",61
"Alamance-Burlington Schools","South Mebane Elementary","Reading Grade 3-8","2019%",63.2
"Alamance-Burlington Schools","South Mebane Elementary","Reading Grade 3-8","2022%",50.3
"Alamance-Burlington Schools","South Mebane Elementary","Reading Grade 3-8","2023%",51.4
"Alamance-Burlington Schools","South Mebane Elementary","Math Grade 3-8","2018%",70.8
"Alamance-Burlington Schools","South Mebane Elementary","Math Grade 3-8","2019%",72.6
"Alamance-Burlington Schools","South Mebane Elementary","Math Grade 3-8","2022%",61.5
"Alamance-Burlington Schools","South Mebane Elementary","Math Grade 3-8","2023%",64.6
"Alamance-Burlington Schools","South Mebane Elementary","Science Grade 5&8","2018%",80
"Alamance-Burlington Schools","South Mebane Elementary","Science Grade 5&8","2019%",83.1
"Alamance-Burlington Schools","South Mebane Elementary","Science Grade 5&8","2022%",65.3
"Alamance-Burlington Schools","South Mebane Elementary","Science Grade 5&8","2023%",67
"Alamance-Burlington Schools","Sylvan Elementary","Reading Grade 3-8","2018%",40.1
"Alamance-Burlington Schools","Sylvan Elementary","Reading Grade 3-8","2019%",43.3
"Alamance-Burlington Schools","Sylvan Elementary","Reading Grade 3-8","2022%",43.9
"Alamance-Burlington Schools","Sylvan Elementary","Reading Grade 3-8","2023%",38.2
"Alamance-Burlington Schools","Sylvan Elementary","Math Grade 3-8","2018%",40.8
"Alamance-Burlington Schools","Sylvan Elementary","Math Grade 3-8","2019%",44.7
"Alamance-Burlington Schools","Sylvan Elementary","Math Grade 3-8","2022%",46.8
"Alamance-Burlington Schools","Sylvan Elementary","Math Grade 3-8","2023%",42.1
"Alamance-Burlington Schools","Sylvan Elementary","Science Grade 5&8","2018%",53.1
"Alamance-Burlington Schools","Sylvan Elementary","Science Grade 5&8","2019%",52.5
"Alamance-Burlington Schools","Sylvan Elementary","Science Grade 5&8","2022%",70.2
"Alamance-Burlington Schools","Sylvan Elementary","Science Grade 5&8","2023%",68.1
"Alamance-Burlington Schools","Turrentine Middle","Reading Grade 3-8","2018%",47.7
"Alamance-Burlington Schools","Turrentine Middle","Reading Grade 3-8","2019%",45.8
"Alamance-Burlington Schools","Turrentine Middle","Reading Grade 3-8","2022%",33.1
"Alamance-Burlington Schools","Turrentine Middle","Reading Grade 3-8","2023%",31.7
"Alamance-Burlington Schools","Turrentine Middle","Math Grade 3-8","2018%",30.4
"Alamance-Burlington Schools","Turrentine Middle","Math Grade 3-8","2019%",35.5
"Alamance-Burlington Schools","Turrentine Middle","Math Grade 3-8","2022%",25.3
"Alamance-Burlington Schools","Turrentine Middle","Math Grade 3-8","2023%",23.7
"Alamance-Burlington Schools","Turrentine Middle","Science Grade 5&8","2018%",56.4
"Alamance-Burlington Schools","Turrentine Middle","Science Grade 5&8","2019%",63.5
"Alamance-Burlington Schools","Turrentine Middle","Science Grade 5&8","2022%",57.3
"Alamance-Burlington Schools","Turrentine Middle","Science Grade 5&8","2023%",47.7
"Alamance-Burlington Schools","Walter M Williams High","Biology","2018%",50.2
"Alamance-Burlington Schools","Walter M Williams High","Biology","2019%",56.2
"Alamance-Burlington Schools","Walter M Williams High","Biology","2022%",45.7
"Alamance-Burlington Schools","Walter M Williams High","Biology","2023%",42.4
"Alamance-Burlington Schools","Walter M Williams High","English II","2018%",60.1
"Alamance-Burlington Schools","Walter M Williams High","English II","2019%",60.6
"Alamance-Burlington Schools","Walter M Williams High","English II","2022%",54.7
"Alamance-Burlington Schools","Walter M Williams High","English II","2023%",55.3
"Alamance-Burlington Schools","Western Alamance High","Biology","2018%",56
"Alamance-Burlington Schools","Western Alamance High","Biology","2019%",61.8
"Alamance-Burlington Schools","Western Alamance High","Biology","2022%",62
"Alamance-Burlington Schools","Western Alamance High","Biology","2023%",50.9
"Alamance-Burlington Schools","Western Alamance High","English II","2018%",64.2
"Alamance-Burlington Schools","Western Alamance High","English II","2019%",60.1
"Alamance-Burlington Schools","Western Alamance High","English II","2022%",55.6
"Alamance-Burlington Schools","Western Alamance High","English II","2023%",55.9
"Alamance-Burlington Schools","Woodlawn Middle","Reading Grade 3-8","2018%",64
"Alamance-Burlington Schools","Woodlawn Middle","Reading Grade 3-8","2019%",58
"Alamance-Burlington Schools","Woodlawn Middle","Reading Grade 3-8","2022%",43.9
"Alamance-Burlington Schools","Woodlawn Middle","Reading Grade 3-8","2023%",47.9
"Alamance-Burlington Schools","Woodlawn Middle","Math Grade 3-8","2018%",65.7
"Alamance-Burlington Schools","Woodlawn Middle","Math Grade 3-8","2019%",69.4
"Alamance-Burlington Schools","Woodlawn Middle","Math Grade 3-8","2022%",52.3
"Alamance-Burlington Schools","Woodlawn Middle","Math Grade 3-8","2023%",51.9
"Alamance-Burlington Schools","Woodlawn Middle","Science Grade 5&8","2018%",79.4
"Alamance-Burlington Schools","Woodlawn Middle","Science Grade 5&8","2019%",81.2
"Alamance-Burlington Schools","Woodlawn Middle","Science Grade 5&8","2022%",72.6
"Alamance-Burlington Schools","Woodlawn Middle","Science Grade 5&8","2023%",68.3
"Alexander County Schools","Alexander Central High","Biology","2018%",51.2
"Alexander County Schools","Alexander Central High","Biology","2019%",55.6
"Alexander County Schools","Alexander Central High","Biology","2022%",59.2
"Alexander County Schools","Alexander Central High","Biology","2023%",56.4
"Alexander County Schools","Alexander Central High","English II","2018%",45.7
"Alexander County Schools","Alexander Central High","English II","2019%",46.6
"Alexander County Schools","Alexander Central High","English II","2022%",57.9
"Alexander County Schools","Alexander Central High","English II","2023%",55.9
"Alexander County Schools","Alexander Early College","Biology","2018%",87
"Alexander County Schools","Alexander Early College","Biology","2019%",87
"Alexander County Schools","Alexander Early College","Biology","2022%",92.3
"Alexander County Schools","Alexander Early College","Biology","2023%",97.5
"Alexander County Schools","Alexander Early College","English II","2018%",90.7
"Alexander County Schools","Alexander Early College","English II","2019%",88.5
"Alexander County Schools","Alexander Early College","English II","2022%",94.9
"Alexander County Schools","Alexander Early College","English II","2023%",97.5
"Alexander County Schools","Bethlehem Elementary","Reading Grade 3-8","2018%",60.9
"Alexander County Schools","Bethlehem Elementary","Reading Grade 3-8","2019%",62.7
"Alexander County Schools","Bethlehem Elementary","Reading Grade 3-8","2022%",56.9
"Alexander County Schools","Bethlehem Elementary","Reading Grade 3-8","2023%",63
"Alexander County Schools","Bethlehem Elementary","Math Grade 3-8","2018%",65.7
"Alexander County Schools","Bethlehem Elementary","Math Grade 3-8","2019%",68.2
"Alexander County Schools","Bethlehem Elementary","Math Grade 3-8","2022%",64.2
